City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Blackwater,AU,83.32,clear sky,-23.5833,148.8833,Blackwater Motor Inn
27,Butaritari,KI,83.73,few clouds,3.0707,172.7902,Isles Sunset Lodge
28,Thakurgaon,BD,86.68,clear sky,26.0333,88.4667,Chowdhury Khokon Fisheries Head Office
35,Soe,ID,85.55,few clouds,-9.8607,124.284,Dena Hotel
39,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Nanakuli,US,87.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
45,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Sibolga,ID,85.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
54,Umm Lajj,SA,81.1,few clouds,25.0213,37.2685,Moon light Furnished Units
59,Kavieng,PG,83.66,light rain,-2.5744,150.7967,Nusa Island Retreat
60,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
62,Bengkulu,ID,82.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Roxana,CR,79.32,overcast clouds,10.2753,-83.7513,3BYES1
69,Airai,TL,79.07,scattered clouds,-8.9266,125.4092,Juvinal Martin
75,Gizo,SB,84.49,broken clouds,-8.103,156.8419,Imagination Island
76,Banjar,ID,82.26,broken clouds,-8.19,114.9675,The Hamsa Resort
82,Katsuura,JP,77.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
87,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
89,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Santa Rosa,PH,89.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
93,Shirgaon,IN,80.8,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
96,Dingle,PH,86.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
101,Metro,ID,86.14,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
104,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
106,Cockburn Town,TC,82.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
