City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,71.67,64,40,16.11,scattered clouds
1,Cape Town,ZA,-33.9258,18.4232,54.27,92,75,2.3,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,74.05,79,100,16.71,light rain
3,Iqaluit,CA,63.7506,-68.5145,26.33,92,20,10.0,few clouds
4,Bredasdorp,ZA,-34.5322,20.0403,45.72,87,97,4.61,overcast clouds
5,Busselton,AU,-33.65,115.3333,61.05,55,3,16.46,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,37.51,87,40,11.5,scattered clouds
7,Saint-Joseph,RE,-21.3667,55.6167,68.36,78,4,12.66,clear sky
8,Petukhovo,RU,55.0692,67.9019,43.61,59,61,6.76,broken clouds
9,Dikson,RU,73.5069,80.5464,35.96,88,100,17.38,overcast clouds
10,Mutoko,ZW,-17.397,32.2268,53.2,71,0,3.67,clear sky
11,Albany,US,42.6001,-73.9662,57.45,86,1,1.63,clear sky
12,Chicama,PE,-7.8447,-79.1469,57.74,81,24,6.53,few clouds
13,Port Alfred,ZA,-33.5906,26.891,58.91,82,73,7.87,broken clouds
14,New Norfolk,AU,-42.7826,147.0587,49.75,71,75,1.99,broken clouds
15,Souillac,MU,-20.5167,57.5167,72.36,83,40,14.97,scattered clouds
16,Blackwater,AU,-23.5833,148.8833,83.32,26,0,2.01,clear sky
17,Esperance,AU,-33.8667,121.9,60.64,48,43,13.18,scattered clouds
18,Tasiilaq,GL,65.6145,-37.6368,29.1,77,98,8.21,overcast clouds
19,Barrow,US,71.2906,-156.7887,28.42,93,75,0.0,light snow
20,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,1.14,clear sky
21,Gat,IL,31.61,34.7642,70.48,59,84,4.18,broken clouds
22,Guerrero Negro,MX,27.9769,-114.0611,72.45,72,100,13.98,overcast clouds
23,Kitami,JP,43.8031,143.8908,62.06,59,25,12.57,scattered clouds
24,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,1,0.72,clear sky
25,Sorland,NO,67.667,12.6934,48.06,80,100,13.04,light rain
26,Luderitz,NA,-26.6481,15.1594,58.55,66,29,9.22,scattered clouds
27,Butaritari,KI,3.0707,172.7902,83.73,73,11,10.29,few clouds
28,Thakurgaon,BD,26.0333,88.4667,86.68,68,6,4.23,clear sky
29,Skjervoy,NO,70.0311,20.9714,47.66,82,100,18.7,light rain
30,Bluff,NZ,-46.6,168.3333,47.8,69,84,30.62,light rain
31,Rocha,UY,-34.4833,-54.3333,51.93,98,30,2.93,scattered clouds
32,Cidreira,BR,-30.1811,-50.2056,60.06,85,34,2.91,scattered clouds
33,Severo-Kurilsk,RU,50.6789,156.125,47.57,93,100,30.11,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,77,98,24.02,overcast clouds
35,Soe,ID,-9.8607,124.284,85.55,36,18,6.44,few clouds
36,Ancud,CL,-41.8697,-73.8203,50.43,93,100,11.12,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,47.48,86,96,10.71,light rain
38,Erdenet,MN,49.0333,104.0833,45.28,73,100,5.91,overcast clouds
39,Vaini,TO,-21.2,-175.2,75.36,73,20,12.66,few clouds
40,Kodiak,US,57.79,-152.4072,51.31,25,1,6.91,volcanic ash
41,Shakiso,ET,5.75,38.9167,58.37,92,100,2.51,overcast clouds
42,Yar-Sale,RU,66.8333,70.8333,36.01,81,15,6.13,few clouds
43,Jamestown,US,42.097,-79.2353,57.72,83,1,1.01,clear sky
44,Nanakuli,US,21.3906,-158.1547,87.75,64,40,10.36,scattered clouds
45,Kapaa,US,22.0752,-159.319,82.38,76,75,3.0,light rain
46,Thompson,CA,55.7435,-97.8558,42.96,93,90,10.36,mist
47,Sibolga,ID,1.7427,98.7792,85.33,67,100,2.86,overcast clouds
48,San Quintin,MX,30.4833,-115.95,69.3,78,85,1.43,overcast clouds
49,Havelock,US,34.8791,-76.9013,68.95,89,0,6.11,clear sky
50,Khatanga,RU,71.9667,102.5,33.87,78,100,10.07,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,37.06,93,75,3.44,light intensity drizzle
52,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.89,52,7,7.2,clear sky
53,Abilene,US,32.4487,-99.7331,73.49,39,1,8.05,clear sky
54,Umm Lajj,SA,25.0213,37.2685,81.1,64,11,12.68,few clouds
55,Vao,NC,-22.6667,167.4833,68.76,66,62,11.16,broken clouds
56,Chuy,UY,-33.6971,-53.4616,57.04,96,52,6.71,broken clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,55,0,8.05,clear sky
58,Lavrentiya,RU,65.5833,-171.0,32.54,90,100,22.77,light snow
59,Kavieng,PG,-2.5744,150.7967,83.66,72,14,10.2,light rain
60,Hilo,US,19.7297,-155.09,80.28,83,90,5.75,light rain
61,Upernavik,GL,72.7868,-56.1549,20.75,80,35,6.02,scattered clouds
62,Bengkulu,ID,-3.8004,102.2655,82.9,72,94,3.67,overcast clouds
63,College,US,64.8569,-147.8028,34.59,90,90,0.0,light snow
64,Kaoma,ZM,-14.7833,24.8,59.27,54,0,5.03,clear sky
65,Huntsville,US,34.7304,-86.5861,60.76,84,1,3.0,clear sky
66,Vostok,RU,46.4856,135.8833,60.8,44,100,2.37,overcast clouds
67,Manica,FR,49.0,-1.1667,47.61,93,0,2.46,clear sky
68,Roxana,CR,10.2753,-83.7513,79.32,96,100,2.35,overcast clouds
69,Airai,TL,-8.9266,125.4092,79.07,36,28,2.86,scattered clouds
70,Darhan,MN,49.4867,105.9228,49.28,72,100,10.38,light rain
71,Hermanus,ZA,-34.4187,19.2345,53.91,83,100,4.12,overcast clouds
72,Provideniya,RU,64.3833,-173.3,33.51,89,100,16.71,overcast clouds
73,Aklavik,CA,68.2191,-135.0107,36.32,98,100,17.94,light rain
74,Smithers,CA,54.7804,-127.1743,53.92,87,90,0.0,overcast clouds
75,Gizo,SB,-8.103,156.8419,84.49,70,84,2.95,broken clouds
76,Banjar,ID,-8.19,114.9675,82.26,61,74,4.18,broken clouds
77,Asau,RO,46.4333,26.4,46.76,95,75,4.88,broken clouds
78,Namibe,AO,-15.1961,12.1522,64.76,92,53,5.55,broken clouds
79,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,18.41,light intensity drizzle
80,Mukhen,RU,48.1,136.1,66.09,45,60,3.33,broken clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,42.8,79,92,6.64,overcast clouds
82,Katsuura,JP,35.1333,140.3,77.11,73,55,15.59,broken clouds
83,Torbay,CA,47.6666,-52.7314,47.57,83,75,6.91,broken clouds
84,Erenhot,CN,43.6475,111.9767,72.27,44,0,11.56,clear sky
85,Saldanha,ZA,-33.0117,17.9442,42.85,86,100,3.78,overcast clouds
86,Goderich,CA,43.7501,-81.7165,57.52,67,7,6.91,clear sky
87,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,6.91,scattered clouds
88,Haines Junction,CA,60.7522,-137.5108,42.75,49,65,11.5,broken clouds
89,Hithadhoo,MV,-0.6,73.0833,82.71,72,99,12.8,overcast clouds
90,Santa Rosa,PH,14.3122,121.1114,89.11,64,30,7.52,scattered clouds
91,Agirish,RU,61.9247,63.0231,36.66,86,12,5.06,few clouds
92,Tromso,NO,69.6496,18.957,44.62,76,75,0.0,broken clouds
93,Shirgaon,IN,19.7,72.7,80.8,78,100,2.84,overcast clouds
94,Harpanahalli,IN,14.8,75.9833,73.83,84,97,12.26,overcast clouds
95,Hrubieszow,PL,50.805,23.8925,54.55,73,99,11.25,overcast clouds
96,Dingle,PH,10.9995,122.6711,86.95,69,94,7.9,overcast clouds
97,Kuryk,KZ,43.2,51.65,60.51,74,13,14.18,few clouds
98,Batagay,RU,67.6333,134.6333,39.11,61,97,7.54,overcast clouds
99,Castro,BR,-24.7911,-50.0119,55.18,97,34,5.1,scattered clouds
100,Ust-Ilimsk,RU,58.0006,102.6619,42.75,57,23,3.6,few clouds
101,Metro,ID,-5.1131,105.3067,86.14,62,55,7.76,broken clouds
102,Vidim,RU,56.4088,103.1106,42.31,65,64,4.97,broken clouds
103,Cherskiy,RU,68.75,161.3,35.82,90,100,12.5,overcast clouds
104,Hasaki,JP,35.7333,140.8333,75.6,70,71,18.81,broken clouds
105,Totma,RU,59.9747,42.7642,42.42,96,95,5.21,overcast clouds
106,Cockburn Town,TC,21.4612,-71.1419,82.72,73,97,9.64,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,34.57,86,100,16.37,overcast clouds
108,Fortuna,US,40.5982,-124.1573,75.18,69,1,1.01,clear sky
109,Mar Del Plata,AR,-38.0023,-57.5575,55.13,59,0,1.99,clear sky
110,Kayerkan,RU,69.3497,87.7602,36.77,61,65,1.88,broken clouds
111,Obo,CF,5.3998,26.4869,65.84,98,100,2.84,overcast clouds
112,Hunterville,NZ,-39.9333,175.5667,67.24,54,70,8.46,broken clouds
113,Labuan,MY,5.2767,115.2417,87.96,83,20,1.99,few clouds
114,Tautira,PF,-17.7333,-149.15,82.42,65,0,4.0,clear sky
115,Gisborne,NZ,-38.6533,178.0042,68.95,61,39,6.78,scattered clouds
116,Atuona,PF,-9.8,-139.0333,77.88,80,100,16.82,overcast clouds
117,Cayenne,GF,4.9333,-52.3333,83.08,82,55,1.99,broken clouds
118,Pevek,RU,69.7008,170.3133,28.87,76,100,14.03,overcast clouds
119,Berbera,SO,10.4396,45.0143,89.53,44,92,12.5,overcast clouds
120,Faanui,PF,-16.4833,-151.75,77.23,62,0,2.06,clear sky
121,Buala,SB,-8.145,159.5921,85.3,69,92,7.31,light rain
122,Rio Grande,BR,-32.035,-52.0986,57.11,95,36,9.71,scattered clouds
123,Lagoa,PT,39.05,-27.9833,70.18,77,100,16.24,overcast clouds
124,Batsfjord,NO,70.6345,29.7185,45.57,93,100,5.75,light rain
125,Lebu,CL,-37.6167,-73.65,51.6,94,11,3.56,few clouds
126,Kipini,KE,-2.5257,40.5262,77.29,80,88,15.88,overcast clouds
127,Ribeira Grande,PT,38.5167,-28.7,70.66,82,100,20.02,overcast clouds
128,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.48,70,100,19.19,overcast clouds
